Sport,Date,Time,School
Basketball,2025-02-21,5:30pm,Massaponax High School
Basketball,2025-02-21,7:00pm,Massaponax High School
Indoor Percussion,2025-02-23,2:00pm - 8:00pm,Massaponax High School
SPRING SPORTS - Start Date,2025-02-24,,Massaponax High School
Basketball,2025-02-24,5:30pm,Massaponax High School
Basketball,2025-02-24,7:00pm,Massaponax High School
Esports Spring,2025-02-25,4:00pm,Massaponax High School
Esports Spring,2025-02-26,4:00pm,Massaponax High School
Wrestling,2025-03-01,8:00am,Massaponax High School
SCPS Spring Recruitment Fair,2025-03-01,9:00am - 1:00pm,Massaponax High School
Speech,2025-03-01,TBD,Massaponax High School
Indoor Percussion,2025-03-02,2:00pm - 8:00pm,Massaponax High School
Indoor Track,2025-03-03,TBD,Massaponax High School
Indoor Track,2025-03-03,TBD,Massaponax High School
Baseball,2025-03-04,4:00pm,Massaponax High School
Baseball,2025-03-04,4:00pm,Massaponax High School
Esports Spring,2025-03-04,4:00pm,Massaponax High School
Tennis,2025-03-04,4:00pm,Massaponax High School
Tennis,2025-03-04,4:00pm,Massaponax High School
Indoor Track,2025-03-04,TBD,Massaponax High School
Indoor Track,2025-03-04,TBD,Massaponax High School
Pics,2025-03-05,2:30pm,Massaponax High School
Esports Spring,2025-03-05,4:00pm,Massaponax High School
Lacrosse,2025-03-05,5:00pm,Massaponax High School
Lacrosse,2025-03-05,6:30pm,Massaponax High School
Swim & Dive,2025-03-05,8:00am,Massaponax High School
Swim & Dive,2025-03-05,8:00am,Massaponax High School
Pics,2025-03-06,2:30pm,Massaponax High School
Soccer,2025-03-06,5:00pm,Massaponax High School
Soccer,2025-03-06,5:30pm,Massaponax High School
Soccer,2025-03-06,6:15pm,Massaponax High School
Soccer,2025-03-06,6:45pm,Massaponax High School
Lacrosse,2025-03-07,5:00pm,Massaponax High School
SATs,2025-03-08,7:00am - 2:00pm,Massaponax High School
Indoor Percussion,2025-03-09,2:00pm - 8:00pm,Massaponax High School
Baseball,2025-03-10,4:30pm,Massaponax High School
Baseball,2025-03-10,4:30pm,Massaponax High School
Softball,2025-03-10,4:30pm,Massaponax High School
Concert Band Assessment,2025-03-11,,Massaponax High School
Esports Spring,2025-03-11,4:00pm,Massaponax High School
Parent/Teacher Conferences,2025-03-11,4:00pm - 6:00pm,Massaponax High School
Concert Band Assessment,2025-03-12,,Massaponax High School
Esports Spring,2025-03-12,4:00pm,Massaponax High School
Tennis,2025-03-12,4:00pm,Massaponax High School
Tennis,2025-03-12,4:00pm,Massaponax High School
Lacrosse,2025-03-12,5:00pm,Massaponax High School
Lacrosse,2025-03-12,6:30pm,Massaponax High School
Concert Band Assessment,2025-03-13,,Massaponax High School
Lacrosse,2025-03-13,5:00pm,Massaponax High School
Softball,2025-03-13,5:00pm,Massaponax High School
Soccer,2025-03-13,5:30pm,Massaponax High School
Soccer,2025-03-13,5:30pm,Massaponax High School
Lacrosse,2025-03-13,6:30pm,Massaponax High School
Soccer,2025-03-13,6:45pm,Massaponax High School
Soccer,2025-03-13,6:45pm,Massaponax High School
Concert Band Assessment,2025-03-14,,Massaponax High School
Debate,2025-03-15,9:00am,Massaponax High School
Indoor Percussion,2025-03-16,2:00pm - 8:00pm,Massaponax High School
Baseball,2025-03-17,4:00pm,Massaponax High School
Lacrosse,2025-03-17,5:30pm,Massaponax High School
Lacrosse,2025-03-17,6:00pm,Massaponax High School
Softball,2025-03-17,6:00pm,Massaponax High School
Baseball,2025-03-17,6:30pm,Massaponax High School
Lacrosse,2025-03-17,7:00pm,Massaponax High School
Esports Spring,2025-03-18,4:00pm,Massaponax High School
Soccer,2025-03-18,5:30pm,Massaponax High School
Soccer,2025-03-18,5:30pm,Massaponax High School
Soccer,2025-03-18,7:00pm,Massaponax High School
Soccer,2025-03-18,7:00pm,Massaponax High School
Esports Spring,2025-03-19,4:00pm,Massaponax High School
Lacrosse,2025-03-19,5:30pm,Massaponax High School
Lacrosse,2025-03-19,6:00pm,Massaponax High School
Lacrosse,2025-03-19,7:00pm,Massaponax High School
Tennis,2025-03-20,4:00pm,Massaponax High School
Tennis,2025-03-20,4:00pm,Massaponax High School
Baseball,2025-03-20,5:00pm,Massaponax High School
Soccer,2025-03-20,5:30pm,Massaponax High School
Soccer,2025-03-20,5:30pm,Massaponax High School
Baseball,2025-03-20,6:00pm,Massaponax High School
Softball,2025-03-20,6:00pm,Massaponax High School
Soccer,2025-03-20,7:00pm,Massaponax High School
Soccer,2025-03-20,7:15pm,Massaponax High School
Baseball,2025-03-21,4:30pm,Massaponax High School
Softball,2025-03-21,4:30pm,Massaponax High School
Baseball,2025-03-21,5:00pm,Massaponax High School
Soccer,2025-03-21,5:30pm,Massaponax High School
Soccer,2025-03-21,5:30pm,Massaponax High School
BINGO - Panther Pals,2025-03-21,6:00pm,Massaponax High School
Soccer,2025-03-21,7:00pm,Massaponax High School
Soccer,2025-03-21,7:00pm,Massaponax High School
Spring Break,2025-03-22,,Massaponax High School
Debate,2025-03-22,9:00am,Massaponax High School
Spring Break,2025-03-23,,Massaponax High School
Indoor Percussion,2025-03-23,2:00pm - 8:00pm,Massaponax High School
Spring Break,2025-03-24,,Massaponax High School
Spring Break,2025-03-25,,Massaponax High School
Soccer,2025-03-25,6:00pm,Massaponax High School
Spring Break,2025-03-26,,Massaponax High School
Spring Break,2025-03-27,,Massaponax High School
Spring Break,2025-03-28,,Massaponax High School
Baseball,2025-03-28,4:00pm,Massaponax High School
Baseball,2025-03-28,6:00pm,Massaponax High School
Spring Break,2025-03-29,,Massaponax High School
Indoor Percussion,2025-03-29,10:00am - 8:00pm,Massaponax High School
Speech,2025-03-29,TBD,Massaponax High School
Spring Break,2025-03-30,,Massaponax High School
Indoor Percussion,2025-03-30,2:00pm - 8:00pm,Massaponax High School
Spring Break,2025-03-31,,Massaponax High School
Tennis,2025-04-01,4:00pm,Massaponax High School
Tennis,2025-04-01,4:00pm,Massaponax High School
Baseball,2025-04-01,5:00pm,Massaponax High School
Lacrosse,2025-04-01,5:30pm,Massaponax High School
Baseball,2025-04-01,6:00pm,Massaponax High School
Lacrosse,2025-04-01,6:00pm,Massaponax High School
Softball,2025-04-01,6:00pm,Massaponax High School
Lacrosse,2025-04-01,7:00pm,Massaponax High School
Baseball,2025-04-02,5:00pm,Massaponax High School
Soccer,2025-04-02,5:30pm,Massaponax High School
Soccer,2025-04-02,5:30pm,Massaponax High School
Baseball,2025-04-02,6:00pm,Massaponax High School
Softball,2025-04-02,6:00pm,Massaponax High School
Soccer,2025-04-02,7:00pm,Massaponax High School
Soccer,2025-04-02,7:00pm,Massaponax High School
Tennis,2025-04-03,4:00pm,Massaponax High School
Tennis,2025-04-03,4:00pm,Massaponax High School
Tennis,2025-04-04,4:00pm,Massaponax High School
Tennis,2025-04-04,4:00pm,Massaponax High School
Baseball,2025-04-04,5:00pm,Massaponax High School
Baseball,2025-04-04,5:00pm,Massaponax High School
Softball,2025-04-04,5:00pm,Massaponax High School
Soccer,2025-04-04,5:30pm,Massaponax High School
Soccer,2025-04-04,5:30pm,Massaponax High School
Soccer,2025-04-04,7:00pm,Massaponax High School
Soccer,2025-04-04,7:00pm,Massaponax High School
Outdoor Track,2025-04-05,9:00am,Massaponax High School
Outdoor Track,2025-04-05,9:00am,Massaponax High School
Lacrosse,2025-04-07,5:00pm,Massaponax High School
Soccer,2025-04-07,5:30pm,Massaponax High School
Soccer,2025-04-07,5:30pm,Massaponax High School
Baseball,2025-04-07,6:00pm,Massaponax High School
Baseball,2025-04-07,6:00pm,Massaponax High School
Softball,2025-04-07,6:00pm,Massaponax High School
Lacrosse,2025-04-07,6:30pm,Massaponax High School
Soccer,2025-04-07,7:00pm,Massaponax High School
Soccer,2025-04-07,7:00pm,Massaponax High School
Tennis,2025-04-08,4:00pm,Massaponax High School
Tennis,2025-04-08,4:00pm,Massaponax High School
Baseball,2025-04-08,5:00pm,Massaponax High School
Soccer,2025-04-08,5:30pm,Massaponax High School
Soccer,2025-04-08,5:30pm,Massaponax High School
Baseball,2025-04-08,6:00pm,Massaponax High School
Softball,2025-04-08,6:00pm,Massaponax High School
Soccer,2025-04-08,7:00pm,Massaponax High School
Soccer,2025-04-08,7:00pm,Massaponax High School
Outdoor Track,2025-04-09,4:00pm,Massaponax High School
Outdoor Track,2025-04-09,4:00pm,Massaponax High School
Germanna Night,2025-04-09,5:00pm - 7:00pm,Massaponax High School
Lacrosse,2025-04-09,5:30pm,Massaponax High School
Lacrosse,2025-04-09,5:30pm,Massaponax High School
Lacrosse,2025-04-09,7:00pm,Massaponax High School
Lacrosse,2025-04-09,7:00pm,Massaponax High School
Tennis,2025-04-10,4:00pm,Massaponax High School
Tennis,2025-04-10,4:00pm,Massaponax High School
Baseball,2025-04-10,5:00pm,Massaponax High School
Lacrosse,2025-04-10,5:00pm,Massaponax High School
Lacrosse,2025-04-10,6:45pm,Massaponax High School
Spring Play,2025-04-10,7:00pm,Massaponax High School
Baseball,2025-04-11,4:00pm,Massaponax High School
Tennis,2025-04-11,4:00pm,Massaponax High School
Tennis,2025-04-11,4:00pm,Massaponax High School
Soccer,2025-04-11,5:30pm,Massaponax High School
Soccer,2025-04-11,5:30pm,Massaponax High School
Softball,2025-04-11,6:00pm,Massaponax High School
WAB,2025-04-11,6:00pm,Massaponax High School
Baseball,2025-04-11,6:30pm,Massaponax High School
Soccer,2025-04-11,7:00pm,Massaponax High School
Soccer,2025-04-11,7:00pm,Massaponax High School
Spring Play,2025-04-11,7:00pm,Massaponax High School
Spring Play,2025-04-12,2:00pm,Massaponax High School
Spring Play,2025-04-12,7:00pm,Massaponax High School
Outdoor Track,2025-04-12,9:00am,Massaponax High School
Outdoor Track,2025-04-12,9:00am,Massaponax High School
Track & Field Camp,2025-04-13,,Massaponax High School
Baseball,2025-04-14,5:00pm,Massaponax High School
Lacrosse,2025-04-14,5:30pm,Massaponax High School
Lacrosse,2025-04-14,5:30pm,Massaponax High School
Baseball,2025-04-14,6:00pm,Massaponax High School
Softball,2025-04-14,6:00pm,Massaponax High School
Lacrosse,2025-04-14,6:45pm,Massaponax High School
Lacrosse,2025-04-14,7:00pm,Massaponax High School
Art Show,2025-04-15,,Massaponax High School
Tennis,2025-04-15,4:00pm,Massaponax High School
Tennis,2025-04-15,4:00pm,Massaponax High School
Soccer,2025-04-15,5:30pm,Massaponax High School
Soccer,2025-04-15,5:30pm,Massaponax High School
Baseball,2025-04-15,6:00pm,Massaponax High School
Softball,2025-04-15,6:00pm,Massaponax High School
Soccer,2025-04-15,7:00pm,Massaponax High School
Soccer,2025-04-15,7:00pm,Massaponax High School
Art Show,2025-04-16,,Massaponax High School
Outdoor Track,2025-04-16,4:00pm,Massaponax High School
Outdoor Track,2025-04-16,4:00pm,Massaponax High School
Lacrosse,2025-04-16,5:30pm,Massaponax High School
Lacrosse,2025-04-16,5:30pm,Massaponax High School
Lacrosse,2025-04-16,6:45pm,Massaponax High School
Lacrosse,2025-04-16,7:00pm,Massaponax High School
Art Show,2025-04-17,,Massaponax High School
Tennis,2025-04-17,4:00pm,Massaponax High School
Tennis,2025-04-17,4:00pm,Massaponax High School
Baseball,2025-04-17,5:00pm,Massaponax High School
Soccer,2025-04-17,5:30pm,Massaponax High School
Soccer,2025-04-17,5:30pm,Massaponax High School
Baseball,2025-04-17,6:00pm,Massaponax High School
Softball,2025-04-17,6:00pm,Massaponax High School
Soccer,2025-04-17,7:00pm,Massaponax High School
Soccer,2025-04-17,7:00pm,Massaponax High School
Art Show,2025-04-18,,Massaponax High School
Outdoor Track,2025-04-19,9:00am,Massaponax High School
Outdoor Track,2025-04-19,9:00am,Massaponax High School
Baseball,2025-04-21,4:00pm,Massaponax High School
Softball,2025-04-21,6:00pm,Massaponax High School
Baseball,2025-04-21,6:45pm,Massaponax High School
Outdoor Track,2025-04-22,4:00pm,Massaponax High School
Outdoor Track,2025-04-22,4:00pm,Massaponax High School
Tennis,2025-04-22,4:00pm,Massaponax High School
Tennis,2025-04-22,4:00pm,Massaponax High School
Lacrosse,2025-04-22,5:30pm,Massaponax High School
Lacrosse,2025-04-22,5:30pm,Massaponax High School
Lacrosse,2025-04-22,6:45pm,Massaponax High School
Lacrosse,2025-04-22,7:00pm,Massaponax High School
Pics,2025-04-23,3:30pm,Massaponax High School
Baseball,2025-04-23,5:00pm,Massaponax High School
Soccer,2025-04-23,5:30pm,Massaponax High School
Soccer,2025-04-23,5:30pm,Massaponax High School
Baseball,2025-04-23,6:00pm,Massaponax High School
Softball,2025-04-23,6:00pm,Massaponax High School
Soccer,2025-04-23,7:00pm,Massaponax High School
Soccer,2025-04-23,7:00pm,Massaponax High School
Tennis,2025-04-24,4:00pm,Massaponax High School
Tennis,2025-04-24,4:00pm,Massaponax High School
Lacrosse,2025-04-24,5:30pm,Massaponax High School
Lacrosse,2025-04-24,6:00pm,Massaponax High School
Lacrosse,2025-04-24,6:45pm,Massaponax High School
Tennis,2025-04-25,4:00pm,Massaponax High School
Tennis,2025-04-25,4:00pm,Massaponax High School
Baseball,2025-04-25,5:00pm,Massaponax High School
Soccer,2025-04-25,5:30pm,Massaponax High School
Soccer,2025-04-25,5:30pm,Massaponax High School
Baseball,2025-04-25,6:00pm,Massaponax High School
Softball,2025-04-25,6:00pm,Massaponax High School
Soccer,2025-04-25,7:00pm,Massaponax High School
Soccer,2025-04-25,7:00pm,Massaponax High School
Debate,2025-04-26,TBD,Massaponax High School
Tennis,2025-04-28,4:00pm,Massaponax High School
Tennis,2025-04-28,5:00pm,Massaponax High School
Lacrosse,2025-04-28,5:30pm,Massaponax High School
Baseball,2025-04-28,6:00pm,Massaponax High School
Baseball,2025-04-28,6:00pm,Massaponax High School
Lacrosse,2025-04-28,6:30pm,Massaponax High School
Lacrosse,2025-04-28,7:00pm,Massaponax High School
Outdoor Track,2025-04-29,4:00pm,Massaponax High School
Outdoor Track,2025-04-29,4:00pm,Massaponax High School
Tennis,2025-04-29,4:00pm,Massaponax High School
Tennis,2025-04-29,4:00pm,Massaponax High School
Baseball,2025-04-29,5:00pm,Massaponax High School
Soccer,2025-04-29,5:30pm,Massaponax High School
Soccer,2025-04-29,5:30pm,Massaponax High School
Baseball,2025-04-29,6:00pm,Massaponax High School
Softball,2025-04-29,6:00pm,Massaponax High School
Soccer,2025-04-29,7:00pm,Massaponax High School
Soccer,2025-04-29,7:00pm,Massaponax High School
TMS Choir/Orchestra Concert,2025-04-29,7:00pm,Massaponax High School
Band/Orchestra Concert,2025-04-30,7:00pm,Massaponax High School
Tennis,2025-05-01,4:00pm,Massaponax High School
Baseball,2025-05-01,5:00pm,Massaponax High School
Lacrosse,2025-05-01,5:00pm,Massaponax High School
Softball,2025-05-01,6:00pm,Massaponax High School
Lacrosse,2025-05-01,6:45pm,Massaponax High School
Tennis,2025-05-02,4:00pm,Massaponax High School
Tennis,2025-05-02,4:00pm,Massaponax High School
Baseball,2025-05-02,5:00pm,Massaponax High School
Soccer,2025-05-02,5:30pm,Massaponax High School
Soccer,2025-05-02,5:30pm,Massaponax High School
Baseball,2025-05-02,6:00pm,Massaponax High School
Softball,2025-05-02,6:00pm,Massaponax High School
Soccer,2025-05-02,7:00pm,Massaponax High School
Soccer,2025-05-02,7:00pm,Massaponax High School
Outdoor Track,2025-05-03,10:00am,Massaponax High School
Outdoor Track,2025-05-03,10:00am,Massaponax High School
SATs,2025-05-03,7:00am - 2:00pm,Massaponax High School
Baseball,2025-05-05,4:00pm,Massaponax High School
Lacrosse,2025-05-05,5:00pm,Massaponax High School
Soccer,2025-05-05,5:30pm,Massaponax High School
Baseball,2025-05-05,6:30pm,Massaponax High School
Lacrosse,2025-05-05,6:45pm,Massaponax High School
Tennis,2025-05-06,4:00pm,Massaponax High School
Tennis,2025-05-06,4:00pm,Massaponax High School
SENIOR Sunset,2025-05-06,7:00pm,Massaponax High School
Tennis,2025-05-07,4:00pm,Massaponax High School
Lacrosse,2025-05-07,5:30pm,Massaponax High School
Choir Concert,2025-05-07,7:00pm,Massaponax High School
Lacrosse,2025-05-07,7:00pm,Massaponax High School
Outdoor Track,2025-05-07,TBD,Massaponax High School
Outdoor Track,2025-05-07,TBD,Massaponax High School
Tennis,2025-05-08,4:00pm,Massaponax High School
Tennis,2025-05-08,5:00pm,Massaponax High School
Lacrosse,2025-05-08,5:30pm,Massaponax High School
Lacrosse,2025-05-08,6:00pm,Massaponax High School
Softball,2025-05-08,6:00pm,Massaponax High School
Broadway Revue,2025-05-08,7:00pm,Massaponax High School
Lacrosse,2025-05-08,7:00pm,Massaponax High School
Outdoor Track,2025-05-08,TBD,Massaponax High School
Outdoor Track,2025-05-08,TBD,Massaponax High School
Tennis,2025-05-09,4:00pm,Massaponax High School
Tennis,2025-05-09,4:00pm,Massaponax High School
Soccer,2025-05-09,5:30pm,Massaponax High School
Soccer,2025-05-09,5:30pm,Massaponax High School
Baseball,2025-05-09,6:00pm,Massaponax High School
Softball,2025-05-09,6:00pm,Massaponax High School
Soccer,2025-05-09,7:00pm,Massaponax High School
Soccer,2025-05-09,7:00pm,Massaponax High School
Tennis,2025-05-12,4:00pm,Massaponax High School
Tennis,2025-05-12,4:00pm,Massaponax High School
Baseball,2025-05-12,5:00pm,Massaponax High School
Soccer,2025-05-12,5:30pm,Massaponax High School
Soccer,2025-05-12,5:30pm,Massaponax High School
Baseball,2025-05-12,6:00pm,Massaponax High School
Lacrosse,2025-05-12,6:00pm,Massaponax High School
Softball,2025-05-12,6:00pm,Massaponax High School
Soccer,2025-05-12,7:00pm,Massaponax High School
Soccer,2025-05-12,7:00pm,Massaponax High School
Lacrosse,2025-05-12,7:30pm,Massaponax High School
Soccer,2025-05-13,5:30pm,Massaponax High School
Soccer,2025-05-13,7:00pm,Massaponax High School
Tennis,2025-05-15,4:00pm,Massaponax High School
Soccer,2025-05-15,5:30pm,Massaponax High School
Soccer,2025-05-15,7:15pm,Massaponax High School
Tennis,2025-05-16,4:00pm,Massaponax High School
Softball,2025-05-16,5:00pm,Massaponax High School
Lacrosse,2025-05-16,5:30pm,Massaponax High School
Baseball,2025-05-16,6:00pm,Massaponax High School
Lacrosse,2025-05-16,7:15pm,Massaponax High School
Grad,2025-05-17,,Massaponax High School
Lee Hill ES - 5th Grade Celebration,2025-05-19,6:00pm,Massaponax High School
Soccer,2025-05-19,6:30pm,Massaponax High School
Tennis,2025-05-22,4:00pm,Massaponax High School
Tennis,2025-05-22,4:00pm,Massaponax High School
Baseball,2025-05-27,6:00pm,Massaponax High School
Softball,2025-05-27,6:00pm,Massaponax High School
Soccer,2025-05-27,7:15pm,Massaponax High School
Baseball,2025-05-28,6:00pm,Massaponax High School
Outdoor Track,2025-05-28,TBD,Massaponax High School
Outdoor Track,2025-05-28,TBD,Massaponax High School
Baseball,2025-05-29,5:30pm,Massaponax High School
Soccer,2025-05-29,6:00pm,Massaponax High School
Softball,2025-05-29,6:00pm,Massaponax High School
Outdoor Track,2025-05-29,TBD,Massaponax High School
Outdoor Track,2025-05-29,TBD,Massaponax High School
Outdoor Track,2025-05-30,TBD,Massaponax High School
Outdoor Track,2025-05-30,TBD,Massaponax High School
Volleyball Camp,2024-08-01,6:00pm - 8:30pm,Courtland High School
American Youth Football (AYF) - Games,2024-08-03,,Courtland High School
The Bridge Church - Set up & Movie Night,2024-08-03,10:00am - 8:00pm,Courtland High School
American Youth Football (AYF) - Games,2024-08-04,,Courtland High School
The Bridge Church,2024-08-04,8:00am - 1:00pm,Courtland High School
Fall Sports,2024-08-05,,Courtland High School
SRO Training,2024-08-05,12:00pm - 2:00pm,Courtland High School
Family Engagement Night,2024-08-06,5:30pm - 7:30pm,Courtland High School
The Bridge Church - Set up & Movie Night,2024-08-10,12:00pm - 8:00pm,Courtland High School
Senior Painting Parking Spot,2024-08-10,7:00am - 11:00am,Courtland High School
The Bridge Church,2024-08-11,8:00am - 1:00pm,Courtland High School
Fall Sports - Parent Informational Night,2024-08-12,6:00pm,Courtland High School
Golf,2024-08-13,4:00pm,Courtland High School
Golf,2024-08-14,4:00pm,Courtland High School
Football,2024-08-15,5:00pm,Courtland High School
Football,2024-08-15,6:30pm,Courtland High School
American Youth Football (AYF) - Games,2024-08-17,,Courtland High School
Volleyball,2024-08-17,9:00am,Courtland High School
The Bridge Church,2024-08-18,8:00am - 1:00pm,Courtland High School
Golf,2024-08-19,4:00pm,Courtland High School
Training - Center for Family and Preschool Services,2024-08-20,3:00pm - 4:00pm,Courtland High School
Golf,2024-08-20,4:00pm,Courtland High School
Field Hockey,2024-08-20,5:00pm,Courtland High School
Field Hockey,2024-08-20,6:30pm,Courtland High School
Golf,2024-08-21,4:00pm,Courtland High School
Football,2024-08-22,6:00pm,Courtland High School
Field Hockey,2024-08-23,5:00pm,Courtland High School
Field Hockey,2024-08-23,6:30pm,Courtland High School
American Youth Football (AYF) - Games,2024-08-24,,Courtland High School
Volleyball,2024-08-24,11:00am,Courtland High School
Volleyball,2024-08-24,11:00am,Courtland High School
The Bridge Church,2024-08-25,8:00am - 1:00pm,Courtland High School
Training - Center for Family and Preschool Services,2024-08-26,3:00pm - 4:00pm,Courtland High School
Golf,2024-08-26,4:00pm,Courtland High School
Field Hockey,2024-08-26,5:00pm,Courtland High School
Field Hockey,2024-08-26,6:30pm,Courtland High School
Theatre - Rehearsals,2024-08-27,2:20pm - 4:30pm,Courtland High School
Theatre - Rehearsals,2024-08-28,2:20pm - 4:30pm,Courtland High School
PLC,2024-08-28,2:30pm - 4:00pm,Courtland High School
Golf,2024-08-28,4:00pm,Courtland High School
Football,2024-08-28,7:00pm,Courtland High School
Underclass,2024-08-28,7:30am - 2:30pm,Courtland High School
Theatre - Rehearsals,2024-08-29,2:20pm - 4:30pm,Courtland High School
Football,2024-08-29,7:00pm,Courtland High School
Underclass,2024-08-29,7:30am - 2:30pm,Courtland High School
Theatre - Rehearsals,2024-08-30,2:20pm - 4:30pm,Courtland High School
Volleyball,2024-08-30,4:00pm,Courtland High School
Football,2024-08-30,7:00pm,Courtland High School
Volleyball,2024-08-30,TBD,Courtland High School
Volleyball,2024-08-30,TBD,Courtland High School
Volleyball,2024-08-31,8:00am,Courtland High School
Volleyball,2024-08-31,TBD,Courtland High School
The Bridge Church,2024-09-01,8:00am - 1:00pm,Courtland High School
Theatre - Rehearsals,2024-09-03,2:20pm - 4:30pm,Courtland High School
Field Hockey,2024-09-03,5:30pm,Courtland High School
Field Hockey,2024-09-03,7:00pm,Courtland High School
Theatre - Rehearsals,2024-09-04,2:20pm - 4:30pm,Courtland High School
Golf,2024-09-04,4:00pm,Courtland High School
Football,2024-09-04,6:30pm,Courtland High School
Theatre - Rehearsals,2024-09-05,2:20pm - 4:30pm,Courtland High School
Field Hockey,2024-09-05,5:00pm,Courtland High School
Field Hockey,2024-09-05,6:30pm,Courtland High School
Football,2024-09-06,7:00pm,Courtland High School
American Youth Football (AYF) - Games,2024-09-07,,Courtland High School
Soccer Tots,2024-09-07,,Courtland High School
The Bridge Church,2024-09-07,1:00pm - 7:30pm,Courtland High School
The Bridge Church,2024-09-08,8:00am - 1:00pm,Courtland High School
Golf,2024-09-09,4:00pm,Courtland High School
SBO - Transition Specialist Event - Correia,2024-09-09,5:15pm - 7:30pm,Courtland High School
Testing,2024-09-09,7:30am - 2:30pm,Courtland High School
Field Hockey,2024-09-10,5:00pm,Courtland High School
SBO - Transition Specialist Event - Correia,2024-09-10,5:15pm - 7:30pm,Courtland High School
Field Hockey,2024-09-10,6:00pm,Courtland High School
Testing,2024-09-10,7:30am - 2:30pm,Courtland High School
Dance Class,2024-09-10,9:00am - 10:50am,Courtland High School
Theatre - Rehearsals,2024-09-11,2:20pm - 4:30pm,Courtland High School
Cross Country,2024-09-11,5:00pm,Courtland High School
Cross Country,2024-09-11,5:00pm,Courtland High School
Golf,2024-09-11,5:00pm,Courtland High School
Football,2024-09-11,6:00pm,Courtland High School
Testing,2024-09-11,7:30am - 2:30pm,Courtland High School
Theatre - Rehearsals,2024-09-12,2:20pm - 4:30pm,Courtland High School
Division - Department Chair Meetings - Stretton/Ashton,2024-09-12,3:15pm - 4:45pm,Courtland High School
Golf,2024-09-12,4:00pm,Courtland High School
Field Hockey,2024-09-12,5:00pm,Courtland High School
Volleyball,2024-09-12,5:00pm,Courtland High School
Volleyball,2024-09-12,6:15pm,Courtland High School
Field Hockey,2024-09-12,6:30pm,Courtland High School
Testing,2024-09-12,7:30am - 2:30pm,Courtland High School
RBMB Rehearsal,2024-09-13,2:45pm - 5:00pm,Courtland High School
Football,2024-09-13,7:00pm,Courtland High School
Testing,2024-09-13,7:30am - 2:30pm,Courtland High School
Soccer Tots,2024-09-14,,Courtland High School
The Bridge Church - Set up,2024-09-14,12:00pm - 4:00pm,Courtland High School
Cross Country,2024-09-14,4:30pm,Courtland High School
Cross Country,2024-09-14,4:30pm,Courtland High School
The Bridge Church,2024-09-15,8:00am - 1:00pm,Courtland High School
Theatre - Rehearsals,2024-09-16,2:20pm - 4:30pm,Courtland High School
Golf,2024-09-16,4:00pm,Courtland High School
Theatre - Rehearsals,2024-09-17,2:20pm - 4:30pm,Courtland High School
CPR Training,2024-09-17,4:00pm,Courtland High School
Field Hockey,2024-09-17,5:00pm,Courtland High School
Volleyball,2024-09-17,5:00pm,Courtland High School
Volleyball,2024-09-17,6:15pm,Courtland High School
Field Hockey,2024-09-17,6:30pm,Courtland High School
Theatre - Rehearsals,2024-09-18,2:20pm - 4:30pm,Courtland High School
Golf,2024-09-18,4:00pm,Courtland High School
Theatre - Rehearsals,2024-09-19,2:20pm - 4:30pm,Courtland High School
Math Honor Society,2024-09-19,2:30pm - 3:00pm,Courtland High School
Field Hockey,2024-09-19,5:00pm,Courtland High School
Golf,2024-09-19,5:00pm,Courtland High School
Volleyball,2024-09-19,5:00pm,Courtland High School
ELL Resource Fair,2024-09-19,6:00pm - 8:00pm,Courtland High School
Volleyball,2024-09-19,6:15pm,Courtland High School
Field Hockey,2024-09-19,6:30pm,Courtland High School
Senior Sunrise,2024-09-20,6:30am - 7:30am,Courtland High School
Braswell Run/Walk,2024-09-21,,Courtland High School
American Youth Football (AYF) - Games,2024-09-22,,Courtland High School
The Bridge Church,2024-09-22,2:00pm - 4:00pm,Courtland High School
The Bridge Church,2024-09-22,8:00am - 1:00pm,Courtland High School
Theatre - Rehearsals,2024-09-23,2:20pm - 4:30pm,Courtland High School
College Funding Coach,2024-09-23,5:30pm,Courtland High School
Golf,2024-09-23,9:00am,Courtland High School
Theatre - Rehearsals,2024-09-24,2:20pm - 4:30pm,Courtland High School
Field Hockey,2024-09-24,4:00pm,Courtland High School
Cross Country,2024-09-24,5:00pm,Courtland High School
Cross Country,2024-09-24,5:00pm,Courtland High School
Volleyball,2024-09-24,5:00pm,Courtland High School
Field Hockey,2024-09-24,5:30pm,Courtland High School
Volleyball,2024-09-24,6:15pm,Courtland High School
Football,2024-09-24,7:00pm,Courtland High School
Theatre - Rehearsals,2024-09-25,2:20pm - 4:30pm,Courtland High School
Spanish Club - Trivia,2024-09-25,3:00pm - 4:00pm,Courtland High School
Football,2024-09-25,6:00pm,Courtland High School
Esports Fall,2024-09-25,TBD,Courtland High School
Theatre - Rehearsals,2024-09-26,2:20pm - 4:30pm,Courtland High School
Flu shot clinic - SBO - HR,2024-09-26,3:00pm - 5:00pm,Courtland High School
Field Hockey,2024-09-26,5:00pm,Courtland High School
Volleyball,2024-09-26,5:00pm,Courtland High School
Volleyball,2024-09-26,6:15pm,Courtland High School
Field Hockey,2024-09-26,6:30pm,Courtland High School
RBMB Rehearsal,2024-09-27,2:20pm - 5:30pm,Courtland High School
Football,2024-09-27,7:00pm,Courtland High School
American Youth Football (AYF) - Games,2024-09-28,,Courtland High School
Soccer Tots,2024-09-28,,Courtland High School
Football,2024-09-28,12:00pm,Courtland High School
